,EmpDepartment,EmpJobRole,EmpEnvironmentSatisfaction,EmpLastSalaryHikePercent,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,log_YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating
0,5,18,4,-0.8891109303095581,2,0.868276076904637,0.8640983033991096,-1.0128155967229087,1.2021034153113355,3
1,5,18,4,-0.8891109303095581,3,0.2003714023626086,0.8640983033991096,0.05031939068400727,0.9028245567276005,3
2,5,18,4,1.594053809112016,3,2.649355209016713,2.661702401773449,0.05031939068400727,2.399218849646275,4
3,2,11,2,-0.061389350502366734,2,-0.24489838066541036,0.5644976203367197,0.05031939068400727,0.6035456981438655,3
4,5,18,1,-0.33729654377143053,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-0.5935697361910744,3
5,4,17,4,1.594053809112016,2,0.6456411853906276,0.8640983033991096,0.05031939068400727,0.9028245567276005,4
6,5,14,4,-0.061389350502366734,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-0.5935697361910744,3
7,4,17,1,-0.6132037370404942,3,0.2003714023626086,0.8640983033991096,1.1134543780909232,0.9028245567276005,3
8,4,17,1,-0.33729654377143053,3,0.4230062938766181,0.8640983033991096,-1.0128155967229087,0.30426683956013056,3
9,4,17,3,-0.33729654377143053,4,-1.1354379467214484,-1.2331064780376202,-1.0128155967229087,-1.1921274533585444,3
10,4,17,1,-0.33729654377143053,3,-0.24489838066541036,-0.6339051119128403,0.05031939068400727,0.0049879809763955655,3
11,5,18,4,-0.8891109303095581,2,-0.24489838066541036,-0.6339051119128403,0.05031939068400727,2.6984977082300103,3
12,5,18,3,2.1458681956501438,2,0.4230062938766181,0.8640983033991096,2.176589365497839,0.9028245567276005,4
13,5,14,3,-1.165018123578622,3,-1.1354379467214484,-1.2331064780376202,-1.0128155967229087,-1.1921274533585444,3
14,4,17,3,-0.8891109303095581,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-0.5935697361910744,3
15,4,17,2,-1.165018123578622,3,-0.24489838066541036,-0.9335057949752302,1.4557073991949316,-0.2942908776073394,3
16,2,9,3,-0.061389350502366734,1,0.4230062938766181,-0.33430442885045025,1.1134543780909232,0.6035456981438655,3
17,4,17,3,-1.165018123578622,2,0.868276076904637,0.8640983033991096,0.05031939068400727,-0.8928485947748094,3
18,4,17,4,1.3181466158429522,2,-0.46753327217941987,-0.6339051119128403,0.672213491521712,-0.2942908776073394,4
19,4,17,4,1.0422394225738885,1,0.2003714023626086,0.5644976203367197,-1.0128155967229087,0.9028245567276005,3
20,5,14,4,-0.33729654377143053,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-0.5935697361910744,3
21,4,17,4,0.4904250360357608,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-0.5935697361910744,3
22,4,12,4,-1.165018123578622,4,-1.1354379467214484,-1.2331064780376202,-1.0128155967229087,-1.1921274533585444,3
23,4,17,1,-0.061389350502366734,3,0.868276076904637,1.1636989864614997,1.4557073991949316,0.9028245567276005,3
24,4,17,2,-0.33729654377143053,3,-1.3580728382354579,-1.2331064780376202,-1.0128155967229087,-1.1921274533585444,3
25,5,11,3,-1.165018123578622,4,-0.24489838066541036,0.5644976203367197,0.05031939068400727,-0.2942908776073394,4
26,4,17,4,-0.6132037370404942,2,0.868276076904637,1.4632996695238896,2.176589365497839,1.2021034153113355,3
27,5,18,3,2.1458681956501438,2,-0.02226348915140087,0.2648969372743297,0.05031939068400727,0.0049879809763955655,4
28,5,14,2,-0.6132037370404942,3,0.4230062938766181,0.8640983033991096,1.1134543780909232,-0.8928485947748094,3
29,4,17,1,0.7663322293048246,3,-0.9128030552074389,-0.6339051119128403,-1.0128155967229087,-0.5935697361910744,3
30,5,18,2,-0.8891109303095581,3,-0.24489838066541036,-0.03470374578806028,0.05031939068400727,-0.2942908776073394,3
31,5,18,4,1.8699610023810798,3,-0.02226348915140087,0.2648969372743297,0.05031939068400727,0.0049879809763955655,4
32,5,18,1,-0.061389350502366734,3,0.868276076904637,0.8640983033991096,-1.0128155967229087,1.5013822738950704,3
33,4,17,4,0.7663322293048246,3,-0.46753327217941987,-0.33430442885045025,0.05031939068400727,-0.5935697361910744,3
34,4,17,1,-0.33729654377143053,3,-0.9128030552074389,-0.6339051119128403,0.672213491521712,-1.1921274533585444,3
35,4,17,2,-0.8891109303095581,2,0.4230062938766181,0.8640983033991096,0.05031939068400727,-0.8928485947748094,3
36,5,18,4,0.4904250360357608,2,-0.46753327217941987,-0.33430442885045025,0.05031939068400727,-0.5935697361910744,3
